ID,heading,sortid,parentid,path,heading,sortid,parentid,path
1655,Concordances >,51655.5,51650.5,7/0489/B5350,Concordances >,51655.5,51650.5,7/0489/B5350
1656,"Criticism, Form >",51656.5,51650.5,7/0490/B5351,"Criticism, Form >",51656.5,51650.5,7/0490/B5351
1657,"Criticism, interpretation, etc.",51657.5,51650.5,sub,"Criticism, interpretation, etc.",51657.5,51650.5,sub
1658,(By author),51658.5,51657.5,sub,(By author),51658.5,51657.5,sub
1659,A-L,51659.5,51658.5,7/0490/B5354,A-L,51659.5,51658.5,7/0490/B5354
1660,M-Z,51660.5,51658.5,7/0490/B5355,M-Z,51660.5,51658.5,7/0490/B5355
1661,(By topic),51661.5,51657.5,7/0490/B5356,(By topic),51661.5,51657.5,7/0490/B5356
1662,(By place),51662.5,51657.5,7/0490/B5357,(By place),51662.5,51657.5,7/0490/B5357
1663,Curiosa,51663.5,51650.5,7/0490/B5358,Curiosa,51663.5,51650.5,7/0490/B5358
1664,Dictionaries >,51664.5,51650.5,7/0490/B5359,Dictionaries >,51664.5,51650.5,7/0490/B5359
1665,"Evidences, authority, etc. >",51665.5,51650.5,7/0490/B5360,"Evidences, authority, etc. >",51665.5,51650.5,7/0490/B5360
1666,Geography >,51666.5,51650.5,7/0490/B5361,Geography >,51666.5,51650.5,7/0490/B5361
1667,History >,51667.5,51650.5,7/0490/B5362,History >,51667.5,51650.5,7/0490/B5362
1668,Inspiration >,51668.5,51650.5,7/0490/B5363,Inspiration >,51668.5,51650.5,7/0490/B5363
1669,Natural history >,51669.5,51650.5,7/0490/B5364,Natural history >,51669.5,51650.5,7/0490/B5364
1670,Periodicals >,51670.5,51650.5,7/0490/B5365,Periodicals >,51670.5,51650.5,7/0490/B5365
1671,Prophecies >,51671.5,51650.5,9/0491/B5366,Prophecies >,51671.5,51650.5,9/0491/B5366
1672,Study,51672.5,51650.5,sub,Study,51672.5,51650.5,sub
1673,(By publication date),51673.5,51672.5,sub,(By publication date),51673.5,51672.5,sub
1674,Before 1900,51674.5,51673.5,9/0491/B5368,Before 1900,51674.5,51673.5,9/0491/B5368
1675,1900-,51675.5,51673.5,9/0491/B5369,1900-,51675.5,51673.5,9/0491/B5369
1676,(By topic),51676.5,51672.5,9/0491/B5370,(By topic),51676.5,51672.5,9/0491/B5370
1677,Symbolism >,51677.5,51650.5,9/0491/B5371,Symbolism >,51677.5,51650.5,9/0491/B5371
1678,Versions >,51678.5,51650.5,9/0491/B5373,Versions >,51678.5,51650.5,9/0491/B5373
1679,Parts,51679.5,2870.5,sub,Parts,51679.5,2870.5,sub
1680,Parts (info),51680.5,2870.5,info/JJ,Parts (info),51680.5,2870.5,info/JJ
1681,A-Neviim,51681.5,51679.5,9/0491/B5375,A-Neviim,51681.5,51679.5,9/0491/B5375
1682,New Testament,51682.5,51679.5,sub,New Testament,51682.5,51679.5,sub
1683,Complete texts,51683.5,51682.5,sub,Complete texts,51683.5,51682.5,sub
1684,Complete texts (info),51684.5,51682.5,info/KK,Complete texts (info),51684.5,51682.5,info/KK
1685,Polyglot,51685.5,51683.5,9/0491/B5383,Polyglot,51685.5,51683.5,9/0491/B5383
1686,Anglo-Saxon >,51686.5,51683.5,9/0491/B5384,Anglo-Saxon >,51686.5,51683.5,9/0491/B5384
1687,English,51687.5,51683.5,sub,English,51687.5,51683.5,sub
1688,Editions,51688.5,51687.5,9/0491/B5385,Editions,51688.5,51687.5,9/0491/B5385
1689,"Subjects, Paraphrases, Selections",51689.5,51687.5,9/0491/B5386,"Subjects, Paraphrases, Selections",51689.5,51687.5,9/0491/B5386
1690,English (Basic English) >,51690.5,51683.5,9/0491/B5387,English (Basic English) >,51690.5,51683.5,9/0491/B5387
1691,Hawaiian >,51691.5,51683.5,9/0491/B5388,Hawaiian >,51691.5,51683.5,9/0491/B5388
1692,Complete texts (Subject),51692.5,51682.5,sub,Complete texts (Subject),51692.5,51682.5,sub
1693,Complete texts (Subject) (info),51693.5,51682.5,info/KK,Complete texts (Subject) (info),51693.5,51682.5,info/KK
1694,(By topic),51694.5,51692.5,sub,(By topic),51694.5,51692.5,sub
1695,"Addresses, essays, lectures >",51695.5,51694.5,10/0492/B5389,"Addresses, essays, lectures >",51695.5,51694.5,10/0492/B5389
1696,Commentaries,51696.5,51694.5,10/0492/B5392,Commentaries,51696.5,51694.5,10/0492/B5392
1697,Concordances >,51697.5,51694.5,10/0492/B5393,Concordances >,51697.5,51694.5,10/0492/B5393
1698,"Criticism, Form >",51698.5,51694.5,10/0492/B5394,"Criticism, Form >",51698.5,51694.5,10/0492/B5394
1699,"Criticism, interpretation, etc.",51699.5,51694.5,sub,"Criticism, interpretation, etc.",51699.5,51694.5,sub
1700,(By author),51700.5,51699.5,sub,(By author),51700.5,51699.5,sub
1701,A-L,51701.5,51700.5,10/0492/B5397,A-L,51701.5,51700.5,10/0492/B5397
1702,M-Z,51702.5,51700.5,10/0492/B5398,M-Z,51702.5,51700.5,10/0492/B5398
1703,(By topic),51703.5,51699.5,10/0492/B5399,(By topic),51703.5,51699.5,10/0492/B5399
1704,Dictionaries >,51704.5,51694.5,10/0492/B5400,Dictionaries >,51704.5,51694.5,10/0492/B5400
1705,Evidences >,51705.5,51694.5,10/0492/B5401,Evidences >,51705.5,51694.5,10/0492/B5401
1706,History >,51706.5,51694.5,10/0492/B5402,History >,51706.5,51694.5,10/0492/B5402
1707,Introductions >,51707.5,51694.5,10/0492/B5403,Introductions >,51707.5,51694.5,10/0492/B5403
1708,Versions,51708.5,51694.5,10/0492/B5404,Versions,51708.5,51694.5,10/0492/B5404
1709,Books or groups of books,51709.5,51682.5,sub,Books or groups of books,51709.5,51682.5,sub
1710,Books or groups of books (info),51710.5,51682.5,info/MM,Books or groups of books (info),51710.5,51682.5,info/MM
1711,Acta Pilati,51711.5,51709.5,10/0492/B5406,Acta Pilati,51711.5,51709.5,10/0492/B5406
1712,Acts,51712.5,51709.5,10/0492/B5407,Acts,51712.5,51709.5,10/0492/B5407
1713,Apocryphal books,51713.5,51709.5,sub,Apocryphal books,51713.5,51709.5,sub
1714,Editions,51714.5,51713.5,10/0492/B5409,Editions,51714.5,51713.5,10/0492/B5409
1715,Subject entries,51715.5,51713.5,3/0493/B5410,Subject entries,51715.5,51713.5,3/0493/B5410
1716,Parts,51716.5,51713.5,3/0493/B5411,Parts,51716.5,51713.5,3/0493/B5411
1717,Apokalypse des Petrus,51717.5,51709.5,3/0493/B5414,Apokalypse des Petrus,51717.5,51709.5,3/0493/B5414
1718,Catholic epistles,51718.5,51709.5,3/0493/B5415,Catholic epistles,51718.5,51709.5,3/0493/B5415
1719,Colossians >,51719.5,51709.5,3/0493/B5416,Colossians >,51719.5,51709.5,3/0493/B5416
1720,Corinthians,51720.5,51709.5,3/0493/B5417,Corinthians,51720.5,51709.5,3/0493/B5417
1721,Ephesians >,51721.5,51709.5,3/0493/B5418,Ephesians >,51721.5,51709.5,3/0493/B5418
1722,Epistles >,51722.5,51709.5,3/0493/B5419,Epistles >,51722.5,51709.5,3/0493/B5419
1723,Epistles and gospels >,51723.5,51709.5,3/0493/B5420,Epistles and gospels >,51723.5,51709.5,3/0493/B5420
1724,Epistles of John,51724.5,51709.5,3/0493/B5421,Epistles of John,51724.5,51709.5,3/0493/B5421
1725,Epistles of Paul >,51725.5,51709.5,3/0493/B5422,Epistles of Paul >,51725.5,51709.5,3/0493/B5422
1726,Galatians >,51726.5,51709.5,3/0493/B5423,Galatians >,51726.5,51709.5,3/0493/B5423
1727,Gospels,51727.5,51709.5,sub,Gospels,51727.5,51709.5,sub
1728,Editions,51728.5,51727.5,sub,Editions,51728.5,51727.5,sub
1729,Polyglot,51729.5,51728.5,3/0493/B5426,Polyglot,51729.5,51728.5,3/0493/B5426
1730,Anglo-Saxon >,51730.5,51728.5,3/0493/B5427,Anglo-Saxon >,51730.5,51728.5,3/0493/B5427
1731,Latin >,51731.5,51728.5,3/0493/B5428,Latin >,51731.5,51728.5,3/0493/B5428
1732,Subject entries,51732.5,51727.5,sub,Subject entries,51732.5,51727.5,sub
1733,(By author),51733.5,51732.5,6/0494/B5430,(By author),51733.5,51732.5,6/0494/B5430
1734,(By topic),51734.5,51732.5,sub,(By topic),51734.5,51732.5,sub
1735,A-D,51735.5,51734.5,6/0494/B5432,A-D,51735.5,51734.5,6/0494/B5432
1736,E-Z,51736.5,51734.5,6/0494/B5433,E-Z,51736.5,51734.5,6/0494/B5433
1737,Gospels and acts >,51737.5,51709.5,6/0494/B5434,Gospels and acts >,51737.5,51709.5,6/0494/B5434
1738,Hebrews >,51738.5,51709.5,6/0494/B5435,Hebrews >,51738.5,51709.5,6/0494/B5435
1739,James,51739.5,51709.5,6/0494/B5436,James,51739.5,51709.5,6/0494/B5436
1740,Johannine literature,51740.5,51709.5,6/0494/B5437,Johannine literature,51740.5,51709.5,6/0494/B5437
1741,John,51741.5,51709.5,sub,John,51741.5,51709.5,sub
1742,Editions,51742.5,51741.5,6/0494/B5439,Editions,51742.5,51741.5,6/0494/B5439
1743,Subject entries,51743.5,51741.5,sub,Subject entries,51743.5,51741.5,sub
1744,(By author),51744.5,51743.5,6/0494/B5441,(By author),51744.5,51743.5,6/0494/B5441
1745,(By topic),51745.5,51743.5,6/0494/B5442,(By topic),51745.5,51743.5,6/0494/B5442
1746,Parts,51746.5,51741.5,6/0494/B5443,Parts,51746.5,51741.5,6/0494/B5443
1747,"John, 1st",51747.5,51709.5,6/0494/B5454,"John, 1st",51747.5,51709.5,6/0494/B5454
1748,Jude >,51748.5,51709.5,6/0494/B5444,Jude >,51748.5,51709.5,6/0494/B5444
1749,Luke >,51749.5,51709.5,6/0494/B5445,Luke >,51749.5,51709.5,6/0494/B5445
1750,Mark,51750.5,51709.5,6/0494/B5446,Mark,51750.5,51709.5,6/0494/B5446
1751,Matthew,51751.5,51709.5,sub,Matthew,51751.5,51709.5,sub
1752,Editions,51752.5,51751.5,10/0495/B5448,Editions,51752.5,51751.5,10/0495/B5448
1753,Subject entries,51753.5,51751.5,10/0495/B5449,Subject entries,51753.5,51751.5,10/0495/B5449
1754,Parts,51754.5,51751.5,10/0495/B5450,Parts,51754.5,51751.5,10/0495/B5450
1755,Nativite de Marie,51755.5,51709.5,10/0495/B5451,Nativite de Marie,51755.5,51709.5,10/0495/B5451
1756,Pastoral epistles >,51756.5,51709.5,10/0495/B5452,Pastoral epistles >,51756.5,51709.5,10/0495/B5452
1757,Peter >,51757.5,51709.5,10/0495/B5453,Peter >,51757.5,51709.5,10/0495/B5453
1758,Philemon,51758.5,51709.5,10/0495/B5455,Philemon,51758.5,51709.5,10/0495/B5455
1759,Philippians >,51759.5,51709.5,10/0495/B5456,Philippians >,51759.5,51709.5,10/0495/B5456
1760,Revelation,51760.5,51709.5,sub,Revelation,51760.5,51709.5,sub
1761,Editions,51761.5,51760.5,10/0495/B5458,Editions,51761.5,51760.5,10/0495/B5458
1762,Subject entries,51762.5,51760.5,sub,Subject entries,51762.5,51760.5,sub
1763,(By author),51763.5,51762.5,10/0495/B5460,(By author),51763.5,51762.5,10/0495/B5460
1764,(By topic),51764.5,51762.5,10/0495/B5461,(By topic),51764.5,51762.5,10/0495/B5461
1765,Parts,51765.5,51760.5,10/0495/B5462,Parts,51765.5,51760.5,10/0495/B5462
1766,Romans >,51766.5,51709.5,10/0495/B5463,Romans >,51766.5,51709.5,10/0495/B5463
1767,Thessalonians >,51767.5,51709.5,10/0495/B5464,Thessalonians >,51767.5,51709.5,10/0495/B5464
1768,Timothy,51768.5,51709.5,10/0496/B5465,Timothy,51768.5,51709.5,10/0496/B5465
1769,Titus,51769.5,51709.5,10/0496/B5466,Titus,51769.5,51709.5,10/0496/B5466
1770,Numbers >,51770.5,51679.5,10/0496/B5467,Numbers >,51770.5,51679.5,10/0496/B5467
1771,Old Testament,51771.5,51679.5,sub,Old Testament,51771.5,51679.5,sub
1772,Complete texts,51772.5,51771.5,sub,Complete texts,51772.5,51771.5,sub
1773,Complete texts (info),51773.5,51771.5,info/NN,Complete texts (info),51773.5,51771.5,info/NN
1774,Anglo-Saxon >,51774.5,51772.5,10/0496/B5470,Anglo-Saxon >,51774.5,51772.5,10/0496/B5470
1775,Greek >,51775.5,51772.5,10/0496/B5471,Greek >,51775.5,51772.5,10/0496/B5471
1776,Latin >,51776.5,51772.5,10/0496/B5472,Latin >,51776.5,51772.5,10/0496/B5472
1777,Complete texts (Subject),51777.5,51771.5,sub,Complete texts (Subject),51777.5,51771.5,sub
1778,Complete texts (Subject) (info),51778.5,51771.5,info/NN,Complete texts (Subject) (info),51778.5,51771.5,info/NN
1779,(By author),51779.5,51777.5,10/0496/B5474,(By author),51779.5,51777.5,10/0496/B5474
1780,(By topic),51780.5,51777.5,sub,(By topic),51780.5,51777.5,sub
1781,"Addresses, essays, lectures >",51781.5,51780.5,10/0496/B5499,"Addresses, essays, lectures >",51781.5,51780.5,10/0496/B5499
1782,Commentaries >,51782.5,51780.5,10/0496/B5476,Commentaries >,51782.5,51780.5,10/0496/B5476
1783,"Criticism, Form >",51783.5,51780.5,10/0496/B5477,"Criticism, Form >",51783.5,51780.5,10/0496/B5477
1784,"Criticism, interpretation, etc.",51784.5,51780.5,sub,"Criticism, interpretation, etc.",51784.5,51780.5,sub
1785,(By author),51785.5,51784.5,sub,(By author),51785.5,51784.5,sub
1786,A-L,51786.5,51785.5,10/0496/B5480,A-L,51786.5,51785.5,10/0496/B5480
1787,M-Z,51787.5,51785.5,10/0496/B5481,M-Z,51787.5,51785.5,10/0496/B5481
1788,(By topic),51788.5,51784.5,10/0496/B5482,(By topic),51788.5,51784.5,10/0496/B5482
1789,"Criticism, interpretation, etc., Jewish >",51789.5,51780.5,1/0497/B5483,"Criticism, interpretation, etc., Jewish >",51789.5,51780.5,1/0497/B5483
1790,Dictionaries >,51790.5,51780.5,1/0497/B5484,Dictionaries >,51790.5,51780.5,1/0497/B5484
1791,History >,51791.5,51780.5,1/0497/B5485,History >,51791.5,51780.5,1/0497/B5485
1792,Periodicals >,51792.5,51780.5,1/0497/B5486,Periodicals >,51792.5,51780.5,1/0497/B5486
1793,Study >,51793.5,51780.5,1/0497/B5487,Study >,51793.5,51780.5,1/0497/B5487
1794,Versions,51794.5,51780.5,1/0497/B5488,Versions,51794.5,51780.5,1/0497/B5488
1795,Books or groups of books,51795.5,51771.5,sub,Books or groups of books,51795.5,51771.5,sub
1796,Books or groups of books (info),51796.5,51771.5,info/QQ,Books or groups of books (info),51796.5,51771.5,info/QQ
1797,Amos >,51797.5,51795.5,1/0497/B5491,Amos >,51797.5,51795.5,1/0497/B5491
1798,Apocrypha,51798.5,51795.5,1/0497/B5492,Apocrypha,51798.5,51795.5,1/0497/B5492
1799,Apocrypha and Apocryphal books,51799.5,51795.5,1/0497/B5493,Apocrypha and Apocryphal books,51799.5,51795.5,1/0497/B5493
1800,Apocryphal books >,51800.5,51795.5,1/0497/B5497,Apocryphal books >,51800.5,51795.5,1/0497/B5497
1801,Asma asmaton >,51801.5,51795.5,1/0497/B5490,Asma asmaton >,51801.5,51795.5,1/0497/B5490
1802,Chronicles >,51802.5,51795.5,1/0497/B5498,Chronicles >,51802.5,51795.5,1/0497/B5498
1803,Daniel >,51803.5,51795.5,2/0498/B5496,Daniel >,51803.5,51795.5,2/0498/B5496
1804,Deuteronomy >,51804.5,51795.5,2/0498/B5494,Deuteronomy >,51804.5,51795.5,2/0498/B5494
1805,Ecclesiastes >,51805.5,51795.5,2/0498/B5495,Ecclesiastes >,51805.5,51795.5,2/0498/B5495
1806,Esther,51806.5,51795.5,2/0498/B5500,Esther,51806.5,51795.5,2/0498/B5500
1807,Exodus,51807.5,51795.5,2/0498/B5501,Exodus,51807.5,51795.5,2/0498/B5501
1808,Ezekiel,51808.5,51795.5,2/0498/B5502,Ezekiel,51808.5,51795.5,2/0498/B5502
1809,Ezra,51809.5,51795.5,2/0498/B5503,Ezra,51809.5,51795.5,2/0498/B5503
1810,Five Scrolls >,51810.5,51795.5,2/0498/B5504,Five Scrolls >,51810.5,51795.5,2/0498/B5504
1811,Genesis,51811.5,51795.5,sub,Genesis,51811.5,51795.5,sub
1812,Editions,51812.5,51811.5,2/0498/B5506,Editions,51812.5,51811.5,2/0498/B5506
1813,Subject entries,51813.5,51811.5,2/0498/B5507,Subject entries,51813.5,51811.5,2/0498/B5507
1814,Parts,51814.5,51811.5,2/0498/B5508,Parts,51814.5,51811.5,2/0498/B5508
1815,Giobbe,51815.5,51795.5,2/0498/B5509,Giobbe,51815.5,51795.5,2/0498/B5509
1816,Habakkuk,51816.5,51795.5,2/0498/B5510,Habakkuk,51816.5,51795.5,2/0498/B5510
1817,Haftaroth,51817.5,51795.5,2/0498/B5511,Haftaroth,51817.5,51795.5,2/0498/B5511
1818,Haggai,51818.5,51795.5,2/0498/B5512,Haggai,51818.5,51795.5,2/0498/B5512
1819,Hagiographa >,51819.5,51795.5,2/0498/B5513,Hagiographa >,51819.5,51795.5,2/0498/B5513
1820,Heptateuch >,51820.5,51795.5,2/0498/B5514,Heptateuch >,51820.5,51795.5,2/0498/B5514
1821,Hexateuch >,51821.5,51795.5,2/0498/B5515,Hexateuch >,51821.5,51795.5,2/0498/B5515
1822,Historical books >,51822.5,51795.5,2/0498/B5516,Historical books >,51822.5,51795.5,2/0498/B5516
1823,Hosea >,51823.5,51795.5,2/0498/B5517,Hosea >,51823.5,51795.5,2/0498/B5517
1824,Isaiah >,51824.5,51795.5,3/0499/B5518,Isaiah >,51824.5,51795.5,3/0499/B5518
1825,Jeremiah >,51825.5,51795.5,3/0499/B5519,Jeremiah >,51825.5,51795.5,3/0499/B5519
1826,Job,51826.5,51795.5,sub,Job,51826.5,51795.5,sub
1827,Editions,51827.5,51826.5,3/0499/B5521,Editions,51827.5,51826.5,3/0499/B5521
1828,Subject entries,51828.5,51826.5,3/0499/B5522,Subject entries,51828.5,51826.5,3/0499/B5522
1829,Parts,51829.5,51826.5,3/0499/B5523,Parts,51829.5,51826.5,3/0499/B5523
1830,Joel,51830.5,51795.5,3/0499/B5524,Joel,51830.5,51795.5,3/0499/B5524
1831,Jonah >,51831.5,51795.5,3/0499/B5525,Jonah >,51831.5,51795.5,3/0499/B5525
1832,Joshua >,51832.5,51795.5,3/0499/B5526,Joshua >,51832.5,51795.5,3/0499/B5526
1833,Judges >,51833.5,51795.5,3/0499/B5527,Judges >,51833.5,51795.5,3/0499/B5527
1834,Kings >,51834.5,51795.5,3/0499/B5528,Kings >,51834.5,51795.5,3/0499/B5528
1835,Lamentations >,51835.5,51795.5,3/0499/B5529,Lamentations >,51835.5,51795.5,3/0499/B5529
1836,Leviticus >,51836.5,51795.5,3/0499/B5530,Leviticus >,51836.5,51795.5,3/0499/B5530
1837,Malachi >,51837.5,51795.5,3/0499/B5531,Malachi >,51837.5,51795.5,3/0499/B5531
1838,Micah >,51838.5,51795.5,3/0499/B5532,Micah >,51838.5,51795.5,3/0499/B5532
1839,Minor prophets >,51839.5,51795.5,3/0499/B5533,Minor prophets >,51839.5,51795.5,3/0499/B5533
1840,Nahum,51840.5,51795.5,3/0499/B5534,Nahum,51840.5,51795.5,3/0499/B5534
1841,Nehemiah >,51841.5,51795.5,3/0499/B5535,Nehemiah >,51841.5,51795.5,3/0499/B5535
1842,Numbers,51842.5,51795.5,3/0499/B5536,Numbers,51842.5,51795.5,3/0499/B5536
1843,Obadiah,51843.5,51795.5,3/0499/B5537,Obadiah,51843.5,51795.5,3/0499/B5537
1844,Octateuch >,51844.5,51795.5,3/0499/B5538,Octateuch >,51844.5,51795.5,3/0499/B5538
1845,Pentateuch,51845.5,51795.5,sub,Pentateuch,51845.5,51795.5,sub
1846,Editions,51846.5,51845.5,sub,Editions,51846.5,51845.5,sub
1847,Polyglot,51847.5,51846.5,3/0499/B5541,Polyglot,51847.5,51846.5,3/0499/B5541
1848,Arabic >,51848.5,51846.5,3/0499/B5542,Arabic >,51848.5,51846.5,3/0499/B5542
1849,Hebrew >,51849.5,51846.5,5/0500/B5588,Hebrew >,51849.5,51846.5,5/0500/B5588
1850,Subject entries,51850.5,51845.5,sub,Subject entries,51850.5,51845.5,sub
1851,(By author),51851.5,51850.5,5/0500/B5544,(By author),51851.5,51850.5,5/0500/B5544
1852,(By topic),51852.5,51850.5,sub,(By topic),51852.5,51850.5,sub
1853,"Addresses, essays, lectures >",51853.5,51852.5,5/0500/B5546,"Addresses, essays, lectures >",51853.5,51852.5,5/0500/B5546
1854,Commentaries,51854.5,51852.5,sub,Commentaries,51854.5,51852.5,sub
1855,(By author),51855.5,51854.5,sub,(By author),51855.5,51854.5,sub
1856,A-K,51856.5,51855.5,5/0500/B5589,A-K,51856.5,51855.5,5/0500/B5589
1857,L-Z,51857.5,51855.5,5/0500/B5549,L-Z,51857.5,51855.5,5/0500/B5549
1858,(By topic),51858.5,51854.5,5/0500/B5550,(By topic),51858.5,51854.5,5/0500/B5550
1859,"Criticism, Textual >",51859.5,51852.5,5/0500/B5590,"Criticism, Textual >",51859.5,51852.5,5/0500/B5590
1860,Petite Genese,51860.5,51795.5,5/0500/B5551,Petite Genese,51860.5,51795.5,5/0500/B5551
1861,Poetical books >,51861.5,51795.5,5/0500/B5552,Poetical books >,51861.5,51795.5,5/0500/B5552
1862,Prophets >,51862.5,51795.5,5/0500/B5553,Prophets >,51862.5,51795.5,5/0500/B5553
1863,Proverbs,51863.5,51795.5,5/0500/B5554,Proverbs,51863.5,51795.5,5/0500/B5554
1864,Psalms,51864.5,51795.5,sub,Psalms,51864.5,51795.5,sub
1865,Editions,51865.5,51864.5,sub,Editions,51865.5,51864.5,sub
1866,Polyglot,51866.5,51865.5,5/0500/B5559,Polyglot,51866.5,51865.5,5/0500/B5559
1867,Anglo-Norman >,51867.5,51865.5,5/0500/B5556,Anglo-Norman >,51867.5,51865.5,5/0500/B5556
1868,English,51868.5,51865.5,sub,English,51868.5,51865.5,sub
1869,Editions,51869.5,51868.5,5/0500/J4794,Editions,51869.5,51868.5,5/0500/J4794
1870,"Paraphrases, Selections",51870.5,51868.5,2/0501/B5561,"Paraphrases, Selections",51870.5,51868.5,2/0501/B5561
1871,English (Middle English) >,51871.5,51865.5,2/0501/B5562,English (Middle English) >,51871.5,51865.5,2/0501/B5562
1872,French >,51872.5,51865.5,2/0501/B5563,French >,51872.5,51865.5,2/0501/B5563
1873,Latin >,51873.5,51865.5,2/0501/B5564,Latin >,51873.5,51865.5,2/0501/B5564
1874,Subject entries,51874.5,51864.5,sub,Subject entries,51874.5,51864.5,sub
1875,(By author),51875.5,51874.5,2/0501/B5566,(By author),51875.5,51874.5,2/0501/B5566
1876,(By topic),51876.5,51874.5,sub,(By topic),51876.5,51874.5,sub
1877,Antiquities >,51877.5,51876.5,2/0501/B5557,Antiquities >,51877.5,51876.5,2/0501/B5557
1878,Dictionaries >,51878.5,51876.5,2/0501/B5568,Dictionaries >,51878.5,51876.5,2/0501/B5568
1879,Parts,51879.5,51864.5,2/0501/B5569,Parts,51879.5,51864.5,2/0501/B5569
1880,Qoheleth,51880.5,51795.5,2/0501/B5570,Qoheleth,51880.5,51795.5,2/0501/B5570
1881,Ruth >,51881.5,51795.5,2/0501/B5571,Ruth >,51881.5,51795.5,2/0501/B5571
1882,Samuel >,51882.5,51795.5,2/0501/B5572,Samuel >,51882.5,51795.5,2/0501/B5572
1883,Song of Solomon,51883.5,51795.5,sub,Song of Solomon,51883.5,51795.5,sub
1884,Editions,51884.5,51883.5,2/0501/B5574,Editions,51884.5,51883.5,2/0501/B5574
1885,Subject entries,51885.5,51883.5,5/0502/B5575,Subject entries,51885.5,51883.5,5/0502/B5575
1886,Parts,51886.5,51883.5,5/0502/B5576,Parts,51886.5,51883.5,5/0502/B5576
1887,Song of Songs >,51887.5,51795.5,5/0502/B5577,Song of Songs >,51887.5,51795.5,5/0502/B5577
1888,Wisdom literature >,51888.5,51795.5,5/0502/B5578,Wisdom literature >,51888.5,51795.5,5/0502/B5578
1889,Zechariah,51889.5,51795.5,5/0502/B5579,Zechariah,51889.5,51795.5,5/0502/B5579
1890,Zephaniah,51890.5,51795.5,5/0502/B5580,Zephaniah,51890.5,51795.5,5/0502/B5580
1891,Osee >,51891.5,51679.5,5/0502/B5581,Osee >,51891.5,51679.5,5/0502/B5581
1892,(By author),51892.5,2891.5,8/0504/F4838,(By author),51892.5,2891.5,8/0504/F4838
1893,(By topic),51893.5,2891.5,sub,(By topic),51893.5,2891.5,sub
1894,Abbreviations >,51894.5,51893.5,8/0504/F4840,Abbreviations >,51894.5,51893.5,8/0504/F4840
1895,Best books,51895.5,51893.5,sub,Best books,51895.5,51893.5,sub
1896,(By author),51896.5,51895.5,8/0504/F4842,(By author),51896.5,51895.5,8/0504/F4842
1897,(By topic),51897.5,51895.5,8/0505/B6048,(By topic),51897.5,51895.5,8/0505/B6048
1898,(By place),51898.5,51895.5,8/0505/F4843,(By place),51898.5,51895.5,8/0505/F4843
1899,Bibliography,51899.5,51893.5,sub,Bibliography,51899.5,51893.5,sub
1900,(By author),51900.5,51899.5,8/0505/F4844,(By author),51900.5,51899.5,8/0505/F4844
1901,(By topic),51901.5,51899.5,sub,(By topic),51901.5,51899.5,sub
1902,A-L,51902.5,51901.5,8/0505/F4846,A-L,51902.5,51901.5,8/0505/F4846
1903,M-Z,51903.5,51901.5,8/0505/F4847,M-Z,51903.5,51901.5,8/0505/F4847
1904,(By place),51904.5,51899.5,8/0505/F4848,(By place),51904.5,51899.5,8/0505/F4848
1905,Books issued in series >,51905.5,51893.5,8/0505/F4849,Books issued in series >,51905.5,51893.5,8/0505/F4849
1906,Early printed books >,51906.5,51893.5,8/0505/B6050,Early printed books >,51906.5,51893.5,8/0505/B6050
1907,Fine editions >,51907.5,51893.5,8/0505/F4850,Fine editions >,51907.5,51893.5,8/0505/F4850
1908,Periodicals >,51908.5,51893.5,1/0506/B6051,Periodicals >,51908.5,51893.5,1/0506/B6051
1909,Rare books,51909.5,51893.5,sub,Rare books,51909.5,51893.5,sub
1910,(By author),51910.5,51909.5,sub,(By author),51910.5,51909.5,sub
1911,A-L,51911.5,51910.5,1/0506/F4875,A-L,51911.5,51910.5,1/0506/F4875
1912,M-Z,51912.5,51910.5,1/0506/F4854,M-Z,51912.5,51910.5,1/0506/F4854
1913,(By topic),51913.5,51909.5,sub,(By topic),51913.5,51909.5,sub
1914,"Addresses, essays, lectures >",51914.5,51913.5,1/0506/F4876,"Addresses, essays, lectures >",51914.5,51913.5,1/0506/F4876
1915,"Catalogs, Booksellers",51915.5,51913.5,sub,"Catalogs, Booksellers",51915.5,51913.5,sub
1916,(By author),51916.5,51915.5,sub,(By author),51916.5,51915.5,sub
1917,A-L,51917.5,51916.5,1/0506/F4858,A-L,51917.5,51916.5,1/0506/F4858
1918,M-Z,51918.5,51916.5,1/0506/F4859,M-Z,51918.5,51916.5,1/0506/F4859
1919,Exhibitions >,51919.5,51913.5,1/0506/F4860,Exhibitions >,51919.5,51913.5,1/0506/F4860
1920,Reference books >,51920.5,51893.5,1/0506/F4861,Reference books >,51920.5,51893.5,1/0506/F4861
1921,(By place),51921.5,2891.5,1/0506/F4862,(By place),51921.5,2891.5,1/0506/F4862
1922,(By author),51922.5,2947.5,10/0513/B1017,(By author),51922.5,2947.5,10/0513/B1017
1923,(By topic),51923.5,2947.5,10/0513/B1018,(By topic),51923.5,2947.5,10/0513/B1018
1924,(By place),51924.5,2947.5,sub,(By place),51924.5,2947.5,sub
1925,(By place) (info),51925.5,2947.5,info/P,(By place) (info),51925.5,2947.5,info/P
1926,A-O,51926.5,51924.5,10/0513/B1020,A-O,51926.5,51924.5,10/0513/B1020
1927,P-Z,51927.5,51924.5,10/0513/B1021,P-Z,51927.5,51924.5,10/0513/B1021
